MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973298,37.7929008,0.2210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,54.0680000,46.7603455,10.6831751,-0.2210156
MsgID.LOCAL_VELOCITY,54.0680000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973301,37.7929001,0.2220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,54.3180000,46.6783180,10.6561432,-0.2226936
MsgID.LOCAL_VELOCITY,54.3180000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973284,37.7928989,0.2140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,54.5690000,46.5529938,10.8036814,-0.2144134
MsgID.LOCAL_VELOCITY,54.5690000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973298,37.7929003,0.1980000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,54.8190000,46.7096863,10.6797981,-0.1980186
MsgID.LOCAL_VELOCITY,54.8190000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973307,37.7929017,0.1750000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,55.0700000,46.8627625,10.5995893,-0.1753247
MsgID.LOCAL_VELOCITY,55.0700000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973322,37.7928999,0.1480000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,55.3200000,46.6570625,10.4670506,-0.1489499
MsgID.LOCAL_VELOCITY,55.3200000,0.0004665,0.0000923,0.0000226
MsgID.GLOBAL_POSITION,0.0000000,-122.3973321,37.7929004,0.1200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,55.5700000,46.7165146,10.4711189,-0.1200968
MsgID.LOCAL_VELOCITY,55.5700000,-0.0000179,-0.0001058,-0.0000037
MsgID.GLOBAL_POSITION,0.0000000,-122.3973294,37.7929019,0.0990000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0900000
MsgID.LOCAL_POSITION,55.8200000,46.8827934,10.7174997,-0.0997309
MsgID.LOCAL_VELOCITY,55.8200000,-0.0002775,0.0008703,-0.0919964
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973301,37.7929005,0.0980000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.1000000
MsgID.LOCAL_POSITION,56.0700000,46.7302475,10.6488848,-0.0982838
MsgID.LOCAL_VELOCITY,56.0700000,0.0001243,-0.0055548,-0.1036159
MsgID.GLOBAL_POSITION,0.0000000,-122.3973320,37.7929006,0.0950000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,-0.1100000
MsgID.LOCAL_POSITION,56.3200000,46.7415123,10.4873095,-0.0955784
MsgID.LOCAL_VELOCITY,56.3200000,0.0055405,-0.0122668,-0.1121890
MsgID.GLOBAL_POSITION,0.0000000,-122.3973306,37.7929012,0.1020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0100000,-0.2000000
MsgID.LOCAL_POSITION,56.5700000,46.7564011,10.8991766,-0.1027346
MsgID.LOCAL_VELOCITY,56.5700000,0.0145370,-0.0100235,-0.2003884
MsgID.GLOBAL_POSITION,0.0000000,-122.3973305,37.7928997,0.1200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0200000,-0.0900000
MsgID.LOCAL_POSITION,56.8200000,46.5837860,10.9157610,-0.1200905
MsgID.LOCAL_VELOCITY,56.8200000,0.0164484,-0.0297651,-0.0960204
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973301,37.7929002,0.1250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0300000,-0.0400000,-0.0900000
MsgID.LOCAL_POSITION,57.0700000,46.6476555,10.9470224,-0.1251740
MsgID.LOCAL_VELOCITY,57.0700000,0.0309137,-0.0479743,-0.0936363
MsgID.GLOBAL_POSITION,0.0000000,-122.3973307,37.7929011,0.1220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0300000,-0.0500000,0.0600000
MsgID.LOCAL_POSITION,57.3200000,46.7440720,10.8943119,-0.1221711
MsgID.LOCAL_VELOCITY,57.3200000,0.0367529,-0.0533198,0.0614794
MsgID.GLOBAL_POSITION,0.0000000,-122.3973306,37.7929009,0.1190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.0500000,0.0200000
MsgID.LOCAL_POSITION,57.5710000,46.7168770,10.9047985,-0.1194491
MsgID.LOCAL_VELOCITY,57.5710000,0.0288334,-0.0539253,0.0264131
MsgID.GLOBAL_POSITION,0.0000000,-122.3973324,37.7929009,0.1270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.0500000,0.0000000
MsgID.LOCAL_POSITION,57.8210000,46.7243500,10.7439251,-0.1273514
MsgID.LOCAL_VELOCITY,57.8210000,0.0274916,-0.0526817,0.0080001
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973331,37.7929010,0.1320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.0400000,0.0600000
MsgID.LOCAL_POSITION,58.0710000,46.7320099,10.6847849,-0.1322351
MsgID.LOCAL_VELOCITY,58.0710000,0.0292174,-0.0416405,0.0622007
MsgID.GLOBAL_POSITION,0.0000000,-122.3973326,37.7929011,0.1350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.0200000,0.0300000
MsgID.LOCAL_POSITION,58.3200000,46.7393456,10.7247677,-0.1351369
MsgID.LOCAL_VELOCITY,58.3200000,0.0260486,-0.0285855,0.0376162
MsgID.GLOBAL_POSITION,0.0000000,-122.3973302,37.7929011,0.1430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.0200000,0.0500000
MsgID.LOCAL_POSITION,58.5700000,46.7450752,10.9407110,-0.1437686
MsgID.LOCAL_VELOCITY,58.5700000,0.0231163,-0.0254622,0.0577817
MsgID.GLOBAL_POSITION,0.0000000,-122.3973313,37.7929014,0.1260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.0300000,0.1100000
MsgID.LOCAL_POSITION,58.8220000,46.7805595,10.8412991,-0.1269867
MsgID.LOCAL_VELOCITY,58.8220000,0.0215866,-0.0385692,0.1148461
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973308,37.7929018,0.1470000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0400000,-0.3700000
MsgID.LOCAL_POSITION,59.0710000,46.8244705,10.8855314,-0.1470069
MsgID.LOCAL_VELOCITY,59.0710000,0.0137268,-0.0405479,-0.3724885
MsgID.GLOBAL_POSITION,0.0000000,-122.3973296,37.7929002,0.5430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0200000,-2.5800000
MsgID.LOCAL_POSITION,59.3220000,46.6409874,10.9884310,-0.5434806
MsgID.LOCAL_VELOCITY,59.3220000,0.0108561,-0.0210156,-2.5822053
MsgID.GLOBAL_POSITION,0.0000000,-122.3973303,37.7928998,1.4130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0300000,-0.0200000,-4.0200000
MsgID.LOCAL_POSITION,59.5720000,46.5936394,10.9275780,-1.4133158
MsgID.LOCAL_VELOCITY,59.5720000,0.0333755,-0.0257997,-4.0272627
MsgID.GLOBAL_POSITION,0.0000000,-122.3973312,37.7929002,2.4910000
MsgID.LOCAL_VELOCITY,0.0000000,0.0400000,-0.0100000,-4.3700000
MsgID.LOCAL_POSITION,59.8220000,46.6448708,10.8469133,-2.4911938
MsgID.LOCAL_VELOCITY,59.8220000,0.0454632,-0.0183619,-4.3777661
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973313,37.7929007,3.6130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0300000,-0.0100000,-4.5000000
MsgID.LOCAL_POSITION,60.0720000,46.7011681,10.8367701,-3.6136208
MsgID.LOCAL_VELOCITY,60.0720000,0.0399746,-0.0138551,-4.5032234
MsgID.GLOBAL_POSITION,0.0000000,-122.3973302,37.7929027,4.7510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0300000,0.0000000,-4.3800000
MsgID.LOCAL_POSITION,60.3220000,46.9182854,10.9343662,-4.7513728
MsgID.LOCAL_VELOCITY,60.3220000,0.0325266,-0.0040723,-4.3839474
MsgID.GLOBAL_POSITION,0.0000000,-122.3973317,37.7929021,5.5150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0300000,0.0000000,-1.7400000
MsgID.LOCAL_POSITION,60.5730000,46.8495789,10.8015099,-5.5159931
MsgID.LOCAL_VELOCITY,60.5730000,0.0305343,-0.0038328,-1.7441218
MsgID.GLOBAL_POSITION,0.0000000,-122.3973319,37.7929017,5.6350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,0.0000000,0.7300000
MsgID.LOCAL_POSITION,60.8240000,46.8089485,10.7842960,-5.6357183
MsgID.LOCAL_VELOCITY,60.8240000,0.0254674,-0.0064823,0.7350732
